1 | null | Item deleted | SUCCESS
2 | null | Item deleted | SUCCESS
3 | null | Item deleted | SUCCESS
4 | null | Item deleted | SUCCESS
5 | null | Item deleted | SUCCESS
6 | null | Item deleted | SUCCESS
7 | null | Item deleted | SUCCESS
8 | null | Item deleted | SUCCESS
9 | null | Item deleted | SUCCESS
10 | null | Item deleted | SUCCESS
11 | null | Item deleted | SUCCESS
12 | null | Item deleted | SUCCESS
13 | null | Item deleted | SUCCESS
14 | null | Item deleted | SUCCESS
15 | null | Item deleted | SUCCESS
16 | null | Item deleted | SUCCESS
17 | null | Item deleted | SUCCESS
18 | null | Item deleted | SUCCESS
19 | null | Item deleted | SUCCESS
20 | null | Supplier deleted | SUCCESS
21 | null | Supplier updated | SUCCESS
22 | null | Supplier created | SUCCESS
23 | null | Supplier deleted | SUCCESS
24 | null | Supplier created | SUCCESS
25 | null | Supplier created | SUCCESS
26 | null | Supplier created | SUCCESS
27 | null | Supplier deleted | SUCCESS
28 | null | Supplier deleted | SUCCESS
29 | null | Supplier created | SUCCESS
30 | null | Supplier updated | SUCCESS
31 | null | Supplier deleted | SUCCESS
32 | null | Supplier created | SUCCESS
33 | null | Supplier deleted | SUCCESS
34 | null | Supplier updated | SUCCESS
35 | null | Supplier created | SUCCESS
36 | null | Supplier updated | SUCCESS
37 | null | Item added | SUCCESS
38 | null | Item added | SUCCESS
